식품이름,1회제공량 (g),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
감자주먹밥,215,41.9,8.97,5.61,0.0,66.99,0.0,0.0,0.0
고추장불고기삼각김밥,100,34.11,3.66,1.58,0.2,342.92,3.51,0.45,0.01
곤드레나물밥정선,350,98.86,10.28,9.48,0.0,90.61,0.0,0.87,0.02
국밥안성,800,58.58,27.55,8.2,0.44,2301.55,47.81,2.66,0.18
국밥굴,100,13.6,6.53,2.73,0.05,251.6,79.75,0.61,0.02
김밥,200,57.57,7.26,6.48,0.5,833.29,40.49,2.75,0.06
김치고구마밥,206,54.01,3.79,2.51,0.0,233.03,0.0,0.0,0.0
김치김밥,250,60.67,10.93,6.51,1.86,1145.54,74.18,1.58,0.05
김치볶음밥,500,120.0,23.07,20.27,4.28,1791.99,152.55,7.1,0.17
김치쌈밥,169,39.48,7.55,4.11,0.0,553.19,0.0,0.0,0.0
농어초밥,250,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02
돼지국밥밀양,1200,74.66,66.36,38.59,0.0,1096.58,142.55,8.44,0.2
두부채소볶음밥,281,60.3,13.63,6.58,0.0,212.77,0.0,0.0,0.0
레몬이들어간새우케밥,200,35.02,15.16,2.86,0.0,167.56,0.0,0.0,0.0
류산슬덮밥,550,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.12
멍게비빔밥거제,400,90.67,16.57,13.14,16.69,1144.8,21.9,2.42,0.08
멸치주먹밥,150,54.33,9.04,6.55,0.9,496.21,42.45,1.05,0.03
묵밥영주,950,128.55,14.76,7.66,15.08,2075.5,42.65,1.5,0.0
문어초밥,250,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0.0
볶음밥,400,112.68,18.79,27.5,0.86,1203.19,161.18,12.79,0.29
불고기덮밥,500,102.35,28.62,16.16,4.39,1499.14,66.5,4.57,0.45
비빔밥,500,114.83,19.92,18.62,25.66,1337.1,111.13,3.85,0.12
삼선볶음밥,400,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15
새싹비빔밥,251,50.53,8.73,5.35,0.0,317.62,0.0,0.0,0.0
새우볶음밥,400,112.86,17.92,19.66,1.2,1395.06,149.36,3.96,0.07
새우초밥,250,78.42,16.81,0.75,11.65,1110.29,72.64,0.55,0.01
새우튀김롤,300,96.28,14.47,18.17,11.15,1391.43,55.88,3.41,0.11
샐러드김밥,250,61.45,9.61,13.52,3.42,911.18,84.58,2.79,0.06
생선초밥광어,300,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
생선초밥모듬,300,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04
소고기국밥밥포함,700,42.62,21.82,8.09,2.76,1786.3,41.85,2.27,0.15
